,yorum,positivity
77,yorumlara gelen urune bakinca kisim kullanicinin gercek manada isi bilemediklerini gordum arkadaslar seritli urunle seritsiz urun arasinda hicbir fark yoktur isteyen 120tl farkla media marketlerden seritli alabilir saygilar,0
78,hizli kargo sorunsuz alisveris tesekkurler begendim ğ,1
79,jet hizinda ulasti,1
80,sadece oyunda sikinti yok,1
81,internetten yaptigim kusursuz alisverislerden biriydi hizli anlatildigi geldi tereddutsuz alabilirsinizğ,1
82,urun anlatildigi urun yorumlarinda birsuru olumsuz yorum okudum saticiyi aradigi gayet ilgililerdi urunde hicbir problem yok gercwkten muazzam oyun kargo 1 gunde ulasti urun paketleme harika gercekten paraya urun harika tesekkurler,1
83,magazanin iletisiminden memnun kaldim,1
84,acilmis kullanilmis urun,0
85,begendim ,1
86,rezil,0
87,oyun sorunsuz ancak faturasiz bandrolsuz oyun yolladilar gec elime ulasti paketleme derece kotuydu kutusunu acmadan takir tukur sesler geliyordu kutudan ,0
88,resmi yayinlarsa durumu anlarsiniz,0
89,urun orjinal ambalajinda iyi paketlenmisti ,1
90,urun fifa 18 yayinlamiyo biseyler karalayayim ,1
91,magaza elinde stok olmamasina ragmen sitedeki puanlamasini yuksek gostermek adina urunu kargo firmasina teslim etmis cikis yapiyor ancak cikisini yapmiyor siparisin elime ulasmasi 10 gun surdu sattigi urun bandrollu turkce oyun versiyonu ama yolladigi bandrolsuz faturasiz 5-10 lira para kurtarmak magazalarla calismamak lazim alisveristen aldigim buyuk ders oldu kesinlikle begendim begendim urun bekledigim 1 yildiz bile fazla kargo paketindeyken urunun icinden takir tukur sesler geliyo meger cd yi tutan dis kirilmis cd kutunun kiprasiyomus ozensiz paketleme magaza iletisimi sifir urun sozde 29unda kargolanmisti anck bugun 9 unda elime ulasti tovbe firmada tedarik aksakliklari olur gecikmeler olur senelerdir alisveris yaptigim firmadir zaman arasam ilgilenirler magdur etmezler urun zaman duzgun gelmistir tavsiye ederim ,0
92,urun jalatinli geldi fakat resimdeki turkiye amblemi yok urun ustunde ayrica 2 ekimde verdigim siparis 10 ekimde geldi dusunun durumu artik ,0
93,urun elime gecmedi ,0
94,urunu 1 haftadan fazla beklememizin yaninda bandrol fatura geldi n11 saticiya urun sattirir sitede anlamak guc urunu aldigima kesinlikle pisman oldum ,0
95,hayir begenemedim elime ulasmadi,0
96,tam 1 hafta urun bekledim aral dan aliyoruz cart curt dediler eyvallah kusura bakmayin dediler eyvallah sertisiz fransiz cakmasi mali gonderiyorsun bide telefonda guzel guzel konusuyorsun fifa17 aldigimda sorunsuzdu ancak 18 olmadi yuzden tavsiye etmiyorum gosterdikleri ilgi tesekkur ederim asil tesekkur edilmesi gereken 1 hafta bekleyen ,0
97,cocuklari uzen hayal kirikligi insanlarsiniz,0
98,hala elime ulasmadi ,0
99,urun anlatildigi gelmedi turkce kapak bandrollu degil kargoda gelirken kutunun bi kirilmadigi kalmis cd kutunun yayindan cikmisti ufak bi cizik olusmus arkasinda insallah calisir denemedim,0
100,fifa yapmis yapacagini super urun sirket sanssizliklar yasayabilir babamda ticaret yaptigi bizzat evde goruyorum o yuzden fazla yargilamamak hemen magazayi gommemek lazim bence oyun orjinal bandrollu geldi 6 gun gecikti fakat magaza iletisim halinde oldu defalarca ozur diledi yuzden aksakliga ragmen 5 yildiz veriyorum,1
101,15 gundur urunum gelmedi,0
102,kesinlikle burdan urun almayin,0
103,urun elime gecmedi ama insallah sikintisiz gelir,1
104,urun elime ulasmadi 11 gun oldu siparis vereli fakat odeme alindi hayirlisi bakalim zaman hemen gonderim yapilirdi sefer tedarikciden gecikme oldu satici bayagi ilgilendi ,1
105,urun elime 8 gun gecti ancak aradigimda karsimda bi muhatap buldum ilgi alakalari gercekten ust duzey derecede iyiydi urun anlatildigindan farksizdi orijinal sekilde jelatinliyli sikintisiz bi urundu deneme sansim olmadi ama eminimki mukemmeldir,1
106,profosyonel satici orjinal urunler uygun fiyat tesekkurler ,1
107,mukemmel oyun dusunmeyin hemen siparis verin ,1
108,begendim guzel ,1
109,arkadaslar hepimiz ekmegimiz in pesindeyiz adamlar bi aksaklik oldugunu soyledigi halde kotu yorum yapmak insanlarin ekmegi oynamak demektir yildir firma calisiyorum problem yasamadim sikinti olsa sekilde hallediyorlar herkezin hayatinda aksaklik olumsuz seyler olmustur burdan orkun bey ekibine tesekkur ediyorum ilgi alakalari gayet iyiydi,1
110,rezalet otesi urunu gondermeyip gonderdik dediler parasini verdim urun yok elimde sahtekar firma tavsiye etmem ama bandrolsuzdu,0
111,fifa 18 harika tavsiyevedetim,1
112,8 gunde ulasmiyan kargo,0
113,urun elime gecmedigi fikrim yok,1
114,urun elime gelmedi geldi gozukuyor,0
115,6gundur kargoda cikis subesinde olup bugun kargo gozukmeyen oyundur sirketten uzak durun bence,0
116,26 9 17 siparis verdim 27 kargoya verildi halen urun elime gecmedi sirketi ariyorum sabredin diyor kesinlikle sirketten almayin,0
117,rezalet ,0
118,urunde sorun yok bandrollu seritli orijinal faturali urun elime 29 eylul ulasti fakat gidip kendim aldim almasam hafta sonu araya girdigi 2 gun bekliceklerdi kargo berbat kotu magaza iletisim kotuydu seferlik ,0
119,hizli kargo orjinal oyunlari tekrar tekrar tesekkur ederim,1
120,ps4 fifa 18 turkce geldi stokta ps4 oyun fifa 2018 super lig 2 adet,1
121,urun haftadir cikis subesinde gorunuyor cevap veren yok,1
122,rezalet gonderdiginiz urunun takibi bile yok soru sordugumuzda 80 kisi soruyor salak salak cevaplar birdaha allah korusun,0
123,urun fifa 18 guzel ama fis fatura yok,0
124,oyunu pazar gunu siparis verdim magaza pazartesi gunu kargoya verildi n11 uzerinden bildirim gonermesine ragmen oyun carsamba gunu kargoya verildi magazayi aradigimda sorunu kargo sirketine atti teslimat suresi 24 saat yaziyor inanmayin ,0
125,magaza kargo konusunda samimi degildi urun anlatildigi geldi sorun yok ,1
126,kargoya dedigi gunden 3 gun verildi urunde sikinti yok,1
127,sacma sapan bi sirket hizli kargoladi urunu gelir gelmez denedi oglum sorunsuz calisiyor guzel urun bandrol vardi uzerinde tesekkurler,1
128,urun orginal iciniz rahat olsun,1
129,supersiniz hersey harika kargo sirketi sene iyi urun orjinal bandrollu turkce kapakli geldi 2 senedir aliyorum fifami seneyede sizde alicam n11 den alsam bi sorun cikiyor ama sizde haric mukkemelsiniz oyunlarimi alicam aldirtcam,1
130,urun anlatildigi gibiydi tesekkur ederim ,1
131,klasik fifa iyi,1
132,urunu begendim fakat iletisim gec gonderilmeyi begenmedim,0
133,urunler ambalajinda sifir kutusunda geldi bandrollu urunlerkargo super,1
134,oyun super otesi begendim orjinal jeletinli geldi sorunsuz hizli ğ,1
135,urun bekledigim geldi orijinal bandrol sadece yogunluktan kargo 2 gun gec geldi ,1
136,sehir ici kargoydu sagolsunlar 4 saat surede magiza teslim etti bayildim urun bandrollu sakin baska yerlere paranizi kaptirmayin teknosa media market ,1
137,harika sifir urun,1
138,ps4 fifa 18 seritli bandrollu turkce kapakli olarak teslim aldim 1 gun teslimat saglandi super hizla geldi magaza iletisim numara turkiye tek gecerim tavsiye ederim orjinal urun erkenden teslim aldim 4 adet aldim ankarada sabaha aciklar tebrik ederim ,1
139,urunu geldi calisiyor yalniz aciklamada bandrollu yazmasina ragmen bandrolsuz urun geldi magazaya bandrolsuz urun gondermissiniz sorusunu sordugumda kapali kutu orijinal urun cevap aldim kacak urun bilginize fifa deil pes severim oneri uzerine aldim magazada oyunda sikinti yok ama saatten alcaksaniz pes 18 bekleyin derim,1
140,urun jelatini ustunde sorunsuz calisiyor tesekkurler,1
141,urun elime gecti sorunsuz,1
142,urunde gorselde gorundugu aciklamada yazdigi super lig mevcut degil turkce degil ayrica faturada yok bilginize,0
143,urun orjinal ozenli paketlenmis sikintisiz tesekkurler ,1
144,super super super,1
145,gayet hizli guvenilir,1
146,begendim bekledigim magazayi oneririm,1
147,istedigim tesekkurler hizli ulasti iyi paketlenmis begendim,1
148,fazlasiyla memnunum guzel tesekkur ederiz ,1
149,beklentilerimi karsiladi,1
150,urun temiz geldi tesekkurler begendim ozenli paketlenmis,1
151,urun orjinal paketinde sorunsuz geldi ,1
152,bosuna siparis vermeyin ellerinde olmayan oyunu listelemisler oyun gelmiyor ariyorlar baska oyunla degistirelim diyorlar vaktinizi firma bosa harcamayin bunlardan guvenli nice firmalar isini ozenerek yapanlar ,0
153,hayir urunun ambalaji acik guven verici degil kendileri makasla elde kesip jelatin yapmislar yapiskan tutmayip atmis yegenime d gunu hediyesi almistim doldurma cd calistiginda bilemiyorum mutsuzum icine sinmedi para degil yazik keske isini duzgun yapabilse ,0
154,urunu goremedim,1
155,urun orijinal yeni ama gun gec geldi ,1
156,tesekkurler hersey 24 saatte urun geldi ankaradan sakaryaya kargo firmasida magzada oldukca hizli urun guzel paketlenmis kesinlikle orjinal tavsiye ederim pisman olmazsiniz gosterildigi gibiydi,1
157,anlatildigi gibiydi paket saglamdi,1
158,urun sorunsuz calisiyor memnunum,1
159,flytechnology tesekkurler ilgi alakadar olarak yardimci olduklari urunlerimi titizlik tarafima gonderdikleri tesekkur ederim hayirli gunler,1
160,hayir begenmedim,0
161,urun orjinal istedigim turkce superligli super hizli kargo 10 numara magaza tavsiye ederim,1
162,ilk olarak urun ozenli sekilde paketlenmis hizli sekilde elime ulasti magaza iletisimi iyiydi fakat urun gorseldeki urun degil gorseldeki urunde turk bayragi gelen urunde ingiltere premier lig logosu ayrica fatura cikmadi kargodan gorseldeki urun olmamasi fatura olmamasi durumundan 4 yildiz verdim iyi harika,1
163,urun turkce super lig sifir ancak bandrolsuz hizli kargolandi sorunsuz oynuyorum,1
164,oldukca iyi hizliydi tesekkurler ,1
165,begendim tesekkurler,1
166,bandrol serit ic kitapcik yoktu cdnin arkasi kircal cizikliydi ama sorunsuz calisiyor buradan gta 5 almistim sorunlar yasamamistim,1
167,sifir sifir sifir birtek iletisiminiz iyiydi gerisi 0,1
168,urunden memnun kaldim kisa surede elime ulasti tesekkur ederim,1
169,acilmamis sifir urun ğ yalniz fatura gonderilmemis iyi fiyat orjinal urun ,1
170,urun anlatildigi sorun yok fakat cd kabindan cikmis sallaniyordu kutunun ayni oyun arkadasimda onda sorun yok cd kabinin icerisinde durmuyor hemen dusuyor urunun faturasi vs yok alacak arkadaslar gore alsin baksin sikinti yok sorunsuz calisiyor siparisimin ertesi gunu elime ulasti ,1
171,taktik oynadik bi sikinti olmadi faturali urun magazyaa tsk ler,1
172,hayir begenmedim urunu begendim,0
173,gorselde olan turkce metinli gelmedi,0
174,harika oneririm,1
175,urun kisa surede elime gecti tesekkurler ,1
176,guvenli tercih tavsiye ederim ,1
177,urun sevdigim oyunlardan super,1
178,urun sifir ambalajinda kargo hizli begendim ,1
179,jelatinli paketleme guzel kargo hizli ilgili satici olsun tesekkurler,1
180,urun kacak - fatura yok - kimsenin fatura kesmeyip vergi kacirmaya hakki yoktur ,0
181,bildigin fifa 17,1
182,urun iyi paketlenmisti hizli kargolama yaptilar guvenilir yer kesinlikle alis veris yapabilirsiniz gayet basarili,1
183,gayet guzel urun basarili hizmet,1
184,urunleri faturasiz gonderiyorlar mÃ¢lum 2 el satiyorlardir fatura gonderilmedi ,0
185,urun bandroldu guvenlik seritli tek eksigi fatura gelmedi uc yildiz verdim,1
186,2 urun aldim kendilerinden fatura yok ,0
187,urun bandrollu turkce guzel ,1
188,urunu begendim teslimattaki hizlari tesekkurler,1
189,ayni anda iki kisi internet ustunden oynamak satin aldik temiz saglikli urunler elime gecti tesekkurler duzgun ticaretimizin devamini dilerim ,1
190,urun guzel orjinal,1
191,urunde sikinti yok oynaniyor ,1
192,urun orjinal fakat magaza fatura gondermiyor,0
193,super siparis verdikten 18 saat urun ulasti guvenlik seridi bandrol vardi paket gayet korunakli duzenlenmisti hersey iyi oyun mukemmel fifa 18 i buradan aliriz artik ,1
194,urun anlatildigi bandrollu ozenle paketlenmis halde geldi memnunum 3 gundur oynuyorum sorun yok tesekkurler ,1
195,muthis oyun temiz bi sekilde1 gune elime ulasti ,1
196,harika oyun ,1
197,super lig urunun turkce menu olmasi harika ,1
198,urun elime ulasti hizli sekilde ulasti cd herhangi cizikte yoktu sorunsuzca kurdum oynadim turkce spiker ingilizce super lig mevcuttu anlayacaginiz urun 5 yildiz verebilirim lakin 2 yildiz veriyorum urun aciklamasinda yazan bandrollu guvenlik seritli urun ibareleri tamamen aldatmacadir ibareleri yazarak ayni urunu uygun fiyata satan saticilardan farki oldugunu gosteriyor boyleliklede 10 tl pahaliya satis yapiyorlar urunu aldiktan soru-cevap kismina israrla bandrollumu sormama ragmen satici cevap vermemistir baska ozelliklerden bahsetmistir soru - cevap kisimlarinida okuyunuz anlayacaginiz durust saticilara haksizlik olmasin 2 yildiz veriyorum ,0
199,urun darma dagin geldi firma iletisime gectim ilgisiz ukala bi firma gormedim akliniz varsa baska yerden alin,1
200,oyun mukemmel gercek futbol keyfi veriyor,1
201,icindeki cd cizik vardi ama calisti oda kutu kirildi olsa gerek,1
202,urun faturasiz geldi jelatinde sikinti yoktu cd kabinin ustunde turkce logosuda yok ama oyun turkce dert etmeyin sikinti yok,1
203,ilk aldigim urun hatali idi yeni degisim yapilan urunu denemedim umarim sorun cikarmaz paketleme ozenliydi ancak yurtici kargo kotuydu adresime gelmedi paketlenmis orijinal,1
204,aciklamada belirttikleri bakanlik onayli bandrollu emniyet seritli urun gonderdiler kapak arkasindaki aciklamalar bile turkce ,1
205,urunde problem yok ancak fatura yok haliyle garantiside yok bi zahmet faturayida yollarlarsa gerci ispati kolay hersey n11 kayitli,1
206,urunun uzerinde bandrol serit urun yurtdisi umarim guncelleme sorun yasamam 10 gundur fatura istiyorum gondermiyor magaza kesinlikle magazadan urun almayin imkanim olsa hemen iade edicem faturasiz bandrolsuz seritsiz udu belirsiz kullanirim derseniz alabilirsiniz,1
207,Â gelen urun kultur bakanligi bandrollu orijinal urun urunde sikinti fakat barkot yok satici sorunlu,1
208,urun iyi gozukuyor bandrol fatura olmamasi disinda suan guncelleme yapiyor simdilik sorun yok orjinal urun ambalaji emniyet seridi acilmamis tesekkurler guzel alisveris bandrollu orjinal urun,1
209,hizli kargo orijinal ambalaj uygun fiyat olsun fifa vazgecilmezimdir,1
210,kargo sirketi yuzunden sikintili elime gecti urun,1
211,bence fifa 17 almaya degmez sene oyun dakotuue gidiyor gercekcilik katacagiz oynanabilirlik birakmamislar ,1
212,urunun hemen kargoya verilmesinden kargoyla yasidigim sorunun cozumu acisindan oldukca ilgililer fakat soylendigi bandrollu degildir fakat urun turkce orijinaldir ayrica israrla faturanin gonderilmemesi disinda memnunum ,1
213,urun iyi paketleme rezalet magaza ilgisiz ,1
214,oyun normalde 290-320 tl ama buradan yaklasik 100 tl kÃ¢r ederek aldim orjinal bakanlik tarafindan onay kagidi vardi paketin uzerinde basarili ,1
215,urunu begendim super,1
216,kargo sirketi haric hersey 10 numara turkce kapakli orjinal bandrollu hicbir sorun yok fifa 18 i burdan aliriz artik ,1
217,urun orjinal ps4 guvenlik seritli kultur bakanligi bandrollu magaza iletisimi 7 24 ulasabilirsiniz 10 numara paketleme,1
218,urun anlatildigi gibiydi ,1
219,iyi satici 1 gunde geldi tesekkurler oyun super,1
220,gec kargo bidaha alisveris yapmayi dusunmuyorum guzel oyun kargo ilk gun geldi pakettede sikinti yoktu,1
221,jelatinli bandrollu geldi siparisimi aksam vermistim sabah kargoya verildi tesekkurler gunde elime gecti bandrol yoktu magazaya sordugumda ellerinde bandrollu urunlerin bittigi bekletilmemek ellerindeki yurt disindan getirilmis bandrolsuz urunu gonderildi oyun turkce sorunsuz calisiliyor fatura kargoicerisinden cikmadi ,1
222,anlatmaya gerek yok,1
223,begendim iyi hafizlar,1
224,harika muhtekulade,1
225,urun orijinal bandrollu paketlemeye ozen gostermisler sorunsuz sekilde alisverisi tamamladim kotu paketleme cdnin jelaini yirtilmisti 0 ikinci el anlamadim 3-5 fazla verin n11 deki saticilardan alin,1
226,urunu begenme umidiyle almistim fakat saticinin tavri urunun anlatildigi sekilde gelmemesinden oyundan bile sogudum begendim super oyun tesekkur ederim orjinal ğ2 gunde elime gecti guzel gorseleri fifa nin,1
227,magaza urun harika ilginize tesekkur ederim,1
228,urun bandrollu ozenle paketlenmis zamaninda teslim gayet guzel ,1
229,faturasiz bandrolsuz kitapciksiz fiyata gore iyi ,1
230,fatura yok vergi kaciriyorsunuz herhalde 17ye ayni gun kargo yaziyor ama o gun kargolama yok soru-cevap bolumune bakin goreceksiniz persembe kargoya verildi sordum verildi dendi ama verilmemisti cuma verildi iade talep ettim reddettiler burdaki elestiren arkadaslarima hak veriyorum yalanci fatura gondermeyen mail atacaz diyorlar ama yalan ilgisiz firmadan vazgecin pismanim alisverisi onermiyorum ,1
231,zamaninda orijinal paket saglam ,1
232,urun gayet iyi turkce bakanlik bandrollu begendim buradan siparislerimi alacagim,1
233,urun guzel orijinal ama fatura isteyen adam buradan alisveris yapmasin,1
234,super urunu begendim,1
235,urun noktasinda sikinti yok tek sikinti magazada,1
236,urun faturasi gelmedi defalarca istememe ragmen gonderilmedi firma vergi kaciran yanlis yollardan calisan firma asla alisveris yapmam sikayetleri dikkate almam gerekirdi gunde elime ulasti oyun orijinal sifir jelatin barkod paketleme guzel tesekkurler ,1
237,urunu sony urettigi sikinti yok iyiki saticilar uretemiyor bunlari ,1
238,fifa dan baska oyun oynanmaz ,1
239,gunun firsati olmasi nedeniyle 26 eylulde satin aldim satan urun oldugu sayfa aciklamasinda yazan 17 e siparisler ayni gun kargo kargolar 26 eylulde cikacaktir yaziyordu guvenerek siparis verdim ancak kargoya 28 eylulde verildi sorun kargoya gec verilmesi degil yalan soylenmesiydi sorulara kargoya verildi kargo takipler sisteme gec isliyor yalan soyluyorlardi kendimde e-ticaretciyim yurtici kargoyla calisiyorum sureci iyi biliyorum vermediysen gun verecegim deseydi sorun yoktu birde herkesin sikayet ettigi fatura konusu internetten satis yapip fatura kesmeme curetkarligini gostermeleri taktire sayan olmus bence faturaniz gonderiliyor gecici cumle kurup savusturuyor n11 com magazanin urununu gunun firsati yapip satislarini arttiriyor zorunlu olmadikca bulasmayin,1
240,urun guzel begendim ozellikle alex hunter yolculuk super tavsiye ederim,1
241,urun orjinal zamaninda kargo tesekkurler ama fatura gondermiyolar,1
242,mukemmel hizmet hemde fiyat taksit avantajiyla hizli geldi tesekkur ler,1
243,urun orjinal ambalajinda hizli gonderim musteri iliskileri iyi firma tesekkur ederim,1
244,fifa begenilmez sene bi magaza yuzunden 3 gun gec baslamasak iyi olacak ama olsun ,1
245,ilgili satici urun guzel cabuk geldi,1
246,urun orjinal kaliteli urun,1
247,urun orijinal fatura gelmedi ,1
248,urun ozenliydi firma guleryuzlu personel tesekkur ediriz,1
249,oyun guzel ama fatura yok hemde cd icine dogru konulmamis cd kutunun geziyordu,1
